 ,,,,,,,For Andrew ,,,,,,,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),"Reason For
Defect/Damaged",Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",
11/14/2020,VW304,Clementine Short,BWC,L,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,VW303,Performance Jogger,BCM,M,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,VW303,Performance Jogger,BCM,S,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,VW226,Halo Essential Hoodie,HCC,S,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,VW108,Lux Performance Tank,BLK,S,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,V341,Trail Short,HCT,M,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,V521,Atlantic Vest,BLT (Black Linen Texture),XL,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,V519,Durango 1/2 Zip,HBK,L,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,V418,Ponto Peformance Pant,HTG,L,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,VW339,Halo Performance Short,HTI,XS,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/14/2020,VW303,Performance Jogger,BCM,XS,1,In,TRUE,Lightspeed Return,,CAM,1120,1826,1035,TRUE,
11/17/2020,VW232,Daily legging,BCM,M,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,VW339,Halo performance short,HDG,XS,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,V344,Ponto short,HBG,S,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,VW303-L,Performance Jogger long,HCC,M,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,V412,Ripstop climber pant,BLK,S,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,VW108,Lux performance Tank,HCE,M,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,V237,Aspen shirt jacket,BLK,S,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,V416,Sunday performance Jogger,IND,M,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,VW418,Daily jogger,BLK,XS,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,VW418,Daily jogger,HZL,XS,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,V101,Tuvalu tee,INK,S,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,VW329,Pace higih rise legging,CER,S,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/17/2020,VW339,Halo performance short,HDS,M,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/18/2020,V164,Ace Polo,LTG,L,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
11/18/2020,V952,Land to Sea tee,IND,M,1,In,FALSE,Lightspeed Return,,DIANE,,,,FALSE,
11/18/2020,V302,kore Short,IND,XL,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/18/2020,V142,Tradewing tank,HOX,M,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/18/2020,V330,Banks short,AZL,XXL,1,In,FALSE,Lightspeed Giftcard,,DIANE,,,,FALSE,
11/18/2020,V109,Tradewind Performance Tee,HCL,XXL,1,In,TRUE,Lightspeed Return,,DIANE,1126,1834,1045,TRUE,
11/18/2020,VW167,L/S Lux Tee,HCE,XS,1,Out,TRUE,Damaged,,DIANE,970687,,1044,TRUE,
