Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2840,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / M,V418HPTMED,843084184491,,,,,11.2,67.2,oz,delivered,03/25/2021 at 14:47,84.00,399,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / S,V418HPTSML,843084184484,,,,,11.2,44.8,oz,delivered,03/25/2021 at 14:47,84.00,138,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / XL,V418HPTXLG,843084184514,,,,,11.2,44.8,oz,delivered,03/25/2021 at 14:47,84.00,201,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Pant | Platinum Heather,Platinum Heather / XXL,V418HPTXXL,843084184521,,,,,11.2,22.4,oz,delivered,03/25/2021 at 14:47,84.00,24,2,N/A,N/A,,,,
T2840,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 30,V433TOB030,843084184811,,,,,15.2,30.4,oz,delivered,03/25/2021 at 14:47,89.00,110,2,N/A,N/A,,,,
T2840,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 32,V433TOB032,843084184828,,,,,15.2,45.6,oz,delivered,03/25/2021 at 14:47,89.00,237,3,N/A,N/A,,,,
T2840,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 33,V433TOB033,843084184835,,,,,15.2,30.4,oz,delivered,03/25/2021 at 14:47,89.00,179,2,N/A,N/A,,,,
T2840,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 34,V433TOB034,843084184842,,,,,15.2,45.6,oz,delivered,03/25/2021 at 14:47,89.00,196,3,N/A,N/A,,,,
T2840,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 36,V433TOB036,843084184859,,,,,15.2,45.6,oz,delivered,03/25/2021 at 14:47,89.00,113,3,N/A,N/A,,,,
T2840,Vuori Clothing,Collins Chino Pant | Tobacco,Tobacco / 38,V433TOB038,843084184866,,,,,15.2,30.4,oz,delivered,03/25/2021 at 14:47,89.00,39,2,N/A,N/A,,,,
T2840,Vuori Clothing,Ripstop Jacket | Tobacco,Tobacco / L,V527TOBLRG,843084185610,,,,,15.84,47.52,oz,delivered,03/25/2021 at 14:47,89.00,275,3,N/A,N/A,,,,
T2840,Vuori Clothing,Ripstop Jacket | Tobacco,Tobacco / M,V527TOBMED,843084185603,,,,,15.84,47.52,oz,delivered,03/25/2021 at 14:47,89.00,267,3,N/A,N/A,,,,
